what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1280978729787
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1280978733615
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1280978735068
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1280978741412
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1280978742521
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1280978781287
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1280978783005
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1280978794755
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1280978803287
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1280978803896
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1280978823068
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.delete",1280978824880
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1280978829021
activated,view,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.PackageExplorer",1280978837521
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1280978840787
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1280978843521
opened,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1280978843599
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1280978843646
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1280978865443
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1280978887693
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1280978895724
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1280978906458
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1280978912708
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1280978914990
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1280978921333
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1280978925099
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1280978928927
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1280978970224
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1280979004224
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1280979006255
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1280979014490
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1280979089412
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1280979094146
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1280979096990
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1280979100662
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1280979101693
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1280979102068
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1280979105302
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1280979105896
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1280979113662
