what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1282188714808
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1282188724371
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282188742011
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282188743011
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282188743855
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282188744715
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282188745277
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282188790965
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282188794699
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282188801261
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1282188834824
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1282188841199
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1282188845636
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1282188846386
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1282188859840
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1282188868324
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1282188894777
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1282188913715
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1282188924386
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1282188946043
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1282188955886
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1282188976511
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1282188979824
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1282189002480
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1282189027918
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1282189030965
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1282189036105
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282189046777
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282189051590
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1282189061074
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.cut",1282189104433
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.paste",1282189109152
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1282189111527
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1282189113918
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1282189165746
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1282189185730
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1282189196043
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1282189228465
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1282189233386
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1282189236746
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1282189238715
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1282189242152
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1282189245074
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.undo",1282189265840
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1282189270808
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1282189275496
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1282189292293
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282189297824
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282189298402
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282189298902
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282189324918
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.edit.text.contentAssist.proposals",1282189342668
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282189352886
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282189355621
executed,command,org.eclipse.ui,3.5.2.M20100120-0800,"org.eclipse.ui.file.save",1282189365433
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282189365965
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282189367215
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282189367652
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282189368621
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282189369574
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282189381136
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282189382840
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282189383324
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282189385933
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282189386527
deactivated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282189390590
activated,workbench,org.eclipse.ui.workbench,3.5.2.M20100113-0800,"",1282189391340
